index, mean-time, variance, std-deviation
non_1r_0w 0.903333 0.000022 0.004702
non_2r_0w 0.930000 -0.000000 nan
non_3r_0w 0.946667 0.000022 0.004709
non_4r_0w 1.026667 0.000022 0.004709
non_5r_0w 1.223333 0.001489 0.038587
non_6r_0w 1.350000 0.000267 0.016330
non_7r_0w 1.410000 0.000067 0.008171
non_8r_0w 1.503333 0.000022 0.004683
rwl_1r_0w 2.156667 0.000022 0.004734
rwl_1r_1w 2.280000 0.000066 0.008141
rwl_2r_0w 3.726667 0.004422 0.066500
rwl_2r_1w 3.053333 0.001088 0.032987
rwl_3r_0w 7.530000 0.941257 0.970184
rwl_3r_1w 7.520000 0.002071 0.045512
rwl_4r_0w 11.796666 0.035507 0.188434
rwl_4r_1w 10.490000 0.010071 0.100353
rwl_5r_0w 14.286667 0.020676 0.143790
rwl_5r_1w 14.306666 0.000687 0.026204
rwl_6r_0w 18.233335 0.014069 0.118611
rwl_6r_1w 18.199999 0.033844 0.183967
rwl_7r_0w 22.283333 0.058990 0.242880
rwl_7r_1w 22.553335 0.010620 0.103054
rwl_8r_0w 45.256668 35.860107 5.988331
